step,nll_loss
2149,6.21875
2150,4.4375
2151,6.4375
2152,6.84375
2153,3.78125
2154,4.40625
2155,4.25
2156,5.25
2157,4.8125
2158,4.84375
2159,5.875
2160,4.40625
2161,4.3125
2162,5.84375
2163,5.28125
2164,6.15625
2165,6.4375
2166,4.59375
2167,6.28125
2168,7.625
2169,6.09375
2170,5.53125
2171,5.3125
2172,5.625
2173,5.09375
2174,3.5
2175,5.53125
2176,4.40625
2177,4.78125
2178,5.84375
2179,6.375
2180,4.6875
2181,5.5625
2182,5.46875
2183,5.375
2184,5.15625
2185,6.375
2186,5.71875
2187,3.8125
2188,6.84375
2189,5.21875
2190,3.5625
2191,5.40625
2192,6.6875
2193,4.25
2194,4.96875
2195,4.46875
2196,5.0625
2197,4.9375
2198,5.46875
2199,5.0
2200,5.1875
2201,5.375
2202,6.28125
2203,6.03125
2204,6.03125
2205,6.4375
2206,5.84375
2207,4.3125
2208,6.4375
2209,5.71875
2210,7.0
2211,5.59375
2212,4.375
2213,4.96875
2214,5.125
2215,4.25
2216,4.9375
2217,5.125
2218,5.0
2219,5.28125
2220,5.4375
2221,5.96875
2222,6.375
2223,5.09375
2224,5.375
2225,5.53125
2226,6.0
2227,4.21875
2228,4.875
2229,3.875
2230,5.40625
2231,5.65625
2232,6.15625
2233,5.8125
2234,5.53125
2235,3.703125
2236,5.96875
2237,4.15625
2238,5.28125
2239,4.9375
2240,5.3125
2241,3.25
2242,3.765625
2243,4.46875
2244,4.46875
2245,5.71875
2246,4.0625
2247,6.84375
2248,5.03125
2249,4.65625
2250,5.4375
2251,5.40625
2252,6.03125
2253,4.78125
2254,5.4375
2255,5.125
2256,6.21875
2257,6.09375
2258,5.0
2259,5.65625
2260,5.46875
2261,5.90625
2262,3.8125
2263,4.375
2264,6.28125
2265,6.53125
2266,6.78125
2267,5.78125
2268,6.40625
2269,6.1875
2270,5.4375
2271,5.34375
2272,5.0625
2273,7.03125
2274,5.875
2275,6.96875
2276,5.0
2277,4.53125
2278,4.90625
2279,6.0625
2280,5.78125
2281,4.875
2282,3.84375
2283,4.5
2284,5.4375
2285,5.78125
2286,3.859375
2287,6.28125
2288,6.0
2289,4.59375
2290,3.515625
2291,4.75
2292,6.0
2293,5.6875
2294,4.1875
2295,6.0
2296,3.90625
2297,6.46875
2298,6.5
2299,4.4375
2300,5.28125
2301,5.9375
2302,5.34375
2303,5.5625
2304,5.5
2305,5.59375
2306,5.84375
2307,6.34375
2308,4.3125
2309,4.65625
2310,5.875
2311,6.28125
2312,4.71875
2313,4.0
2314,5.53125
2315,5.84375
2316,4.9375
2317,4.9375
2318,4.53125
2319,4.90625
2320,6.125
2321,6.75
2322,6.5
2323,5.90625
2324,5.96875
2325,5.0
2326,4.9375
2327,3.78125
2328,6.1875
2329,5.84375
2330,6.40625
2331,4.84375
2332,5.1875
2333,4.71875
2334,5.4375
2335,5.375
2336,5.0
2337,4.75
2338,3.65625
2339,4.65625
2340,5.875
2341,4.15625
2342,3.3125
2343,5.28125
2344,5.25
2345,5.53125
2346,3.84375
2347,4.21875
2348,5.0
2349,6.46875
2350,4.625
2351,5.03125
2352,6.03125
2353,5.6875
2354,7.21875
2355,4.75
2356,5.9375
2357,5.09375
2358,6.4375
2359,5.28125
2360,4.25
2361,6.0
2362,5.96875
2363,4.0625
2364,5.75
2365,4.875
2366,4.4375
2367,5.8125
2368,5.03125
2369,5.4375
2370,5.71875
2371,4.78125
2372,5.15625
2373,5.0625
2374,6.71875
2375,5.53125
2376,5.4375
2377,6.59375
2378,5.71875
2379,4.8125
2380,3.4375
2381,4.71875
2382,4.96875
2383,5.46875
2384,5.875
2385,5.78125
2386,5.0625
2387,6.09375
2388,4.90625
2389,5.3125
2390,6.09375
2391,4.8125
2392,4.5625
2393,6.21875
2394,5.90625
2395,5.5
2396,4.4375
2397,5.96875
2398,5.46875
2399,5.75
2400,5.5
2401,4.1875
2402,3.828125
2403,5.21875
2404,5.15625
2405,5.0
2406,5.71875
2407,5.09375
2408,5.1875
2409,5.71875
2410,4.875
2411,5.5625
2412,5.875
2413,6.28125
2414,5.6875
2415,5.1875
2416,5.25
2417,5.09375
2418,6.15625
2419,6.21875
2420,4.90625
2421,4.875
2422,4.5
2423,4.25
2424,6.46875
2425,5.5625
2426,4.59375
2427,5.90625
2428,7.59375
2429,5.65625
2430,6.0625
2431,5.6875
2432,5.6875
2433,4.71875
2434,6.375
2435,6.15625
2436,4.875
2437,5.84375
2438,4.40625
2439,5.0625
2440,6.09375
2441,4.625
2442,6.03125
2443,5.15625
2444,4.375
2445,3.34375
2446,4.71875
2447,6.78125
2448,5.6875
2449,5.21875
2450,5.21875
2451,4.8125
2452,6.0625
2453,4.875
2454,5.21875
2455,4.125
2456,4.8125
2457,5.34375
2458,4.65625
2459,5.125
2460,3.96875
2461,5.15625
2462,5.90625
2463,6.125
2464,6.21875
2465,3.859375
2466,4.28125
2467,5.46875
2468,6.25
2469,4.6875
2470,6.21875
2471,4.96875
2472,5.875
2473,5.53125
2474,5.9375
2475,4.28125
2476,5.125
2477,4.375
2478,5.5
2479,6.21875
2480,6.0
2481,5.34375
2482,5.96875
2483,5.78125
2484,5.1875
2485,5.84375
2486,5.34375
2487,5.25
2488,5.875
2489,3.46875
2490,5.875
2491,5.90625
2492,4.8125
2493,4.21875
2494,5.15625
2495,6.1875
2496,5.5625
2497,6.15625
2498,6.9375
2499,5.125
2500,4.375
2501,4.1875
2502,6.1875
2503,5.78125
2504,5.78125
2505,5.96875
2506,5.1875
2507,4.625
2508,5.4375
2509,4.09375
2510,6.6875
2511,5.5
2512,6.59375
2513,5.78125
2514,4.5
2515,4.5625
2516,5.8125
2517,5.375
2518,5.375
2519,5.9375
2520,3.9375
2521,5.78125
2522,4.375
2523,5.28125
2524,3.21875
2525,5.4375
2526,5.15625
2527,4.59375
2528,5.96875
2529,3.34375
2530,5.15625
2531,5.5625
2532,6.375
2533,5.59375
2534,5.53125
2535,5.96875
2536,4.71875
2537,4.375
2538,5.03125
2539,5.65625
2540,5.5
2541,4.65625
2542,3.46875
2543,6.34375
2544,4.34375
2545,4.34375
2546,5.875
2547,6.59375
2548,4.65625
2549,4.46875
2550,3.625
2551,5.9375
2552,4.9375
2553,3.71875
2554,4.71875
2555,4.78125
2556,6.40625
2557,6.59375
2558,4.5
2559,5.28125
2560,3.796875
2561,4.71875
2562,5.875
2563,4.96875
2564,5.5625
2565,6.0625
2566,5.59375
2567,3.4375
2568,6.5625
2569,5.625
2570,5.625
2571,4.8125
2572,5.46875
2573,3.953125
2574,6.0
2575,4.875
2576,5.5625
2577,3.640625
2578,5.75
2579,5.34375
2580,4.75
2581,4.875
2582,4.5625
2583,5.90625
2584,5.3125
2585,5.5
2586,5.5
2587,6.28125
2588,5.34375
2589,5.25
2590,4.0625
2591,5.96875
2592,6.4375
2593,4.0625
2594,6.0625
2595,3.96875
2596,5.3125
2597,7.0625
2598,5.375
2599,5.84375
2600,5.75
2601,5.8125
2602,5.375
2603,3.828125
2604,5.125
2605,5.6875
2606,4.78125
2607,5.75
2608,4.4375
2609,5.40625
2610,5.0
2611,3.546875
2612,4.875
2613,5.46875
2614,5.75
2615,5.9375
2616,6.28125
2617,5.40625
2618,6.5
2619,5.40625
2620,5.1875
2621,5.84375
2622,5.5
2623,5.0625
2624,4.6875
2625,5.53125
2626,5.15625
2627,4.96875
2628,6.125
2629,4.5
2630,4.75
2631,5.1875
2632,4.21875
2633,5.78125
2634,5.78125
2635,4.25
2636,5.65625
2637,6.3125
2638,6.65625
2639,4.59375
2640,6.03125
2641,4.1875
2642,6.28125
2643,5.8125
2644,5.6875
2645,4.6875
2646,6.625
2647,4.90625
2648,5.625
2649,5.8125
2650,5.25
2651,5.65625
2652,3.953125
2653,6.40625
2654,5.40625
2655,5.40625
2656,6.34375
2657,5.0625
2658,3.65625
2659,4.625
2660,5.75
2661,3.703125
2662,3.890625
2663,5.96875
2664,4.5625
2665,5.875
2666,6.78125
2667,4.8125
2668,4.34375
2669,4.9375
2670,4.78125
2671,5.53125
2672,4.875
2673,4.0
2674,5.4375
2675,3.75
2676,4.6875
2677,5.125
2678,5.25
2679,4.65625
2680,6.03125
2681,6.3125
2682,5.3125
2683,5.4375
2684,4.4375
2685,6.65625
2686,5.09375
2687,4.0
2688,5.84375
2689,4.0625
2690,5.125
2691,3.96875
2692,5.90625
2693,5.03125
2694,5.21875
2695,3.8125
2696,4.34375
2697,5.0
2698,4.03125
2699,5.5
2700,4.90625
2701,5.0625
2702,3.875
2703,4.46875
2704,5.65625
2705,5.6875
2706,3.71875
2707,5.75
2708,5.0625
2709,4.21875
2710,4.1875
2711,4.9375
2712,4.65625
2713,6.03125
2714,5.125
2715,5.875
2716,3.859375
2717,7.0
2718,6.0625
2719,4.5
2720,3.890625
2721,5.59375
2722,5.5
2723,5.0
2724,4.46875
2725,6.78125
2726,6.28125
2727,5.53125
2728,4.1875
2729,3.921875
2730,6.71875
2731,5.96875
2732,3.59375
2733,5.21875
2734,5.46875
2735,5.09375
2736,5.75
2737,5.40625
2738,6.25
2739,5.1875
2740,3.890625
2741,4.125
2742,4.0
2743,4.5625
2744,6.03125
2745,4.78125
2746,5.90625
2747,4.375
2748,4.46875
2749,5.0
2750,5.96875
2751,6.46875
2752,4.3125
2753,4.8125
2754,6.9375
2755,3.21875
2756,4.53125
2757,4.1875
2758,5.0625
2759,5.5625
2760,5.96875
2761,3.84375
2762,4.78125
2763,5.46875
2764,4.96875
2765,5.40625
2766,5.53125
2767,4.71875
2768,4.75
2769,3.96875
2770,3.8125
2771,4.03125
2772,4.59375
2773,5.9375
2774,5.75
2775,4.75
2776,4.90625
2777,5.84375
2778,3.65625
2779,5.4375
2780,4.34375
2781,6.28125
2782,5.21875
2783,6.40625
2784,4.0625
2785,5.0
2786,5.125
2787,6.65625
2788,3.890625
2789,5.03125
2790,5.4375
2791,6.65625
2792,5.375
2793,6.21875
2794,3.921875
2795,6.15625
2796,5.1875
2797,6.5625
2798,5.75
2799,5.375
2800,6.40625
2801,6.03125
2802,4.96875
2803,5.84375
2804,5.375
2805,4.28125
2806,4.90625
2807,5.28125
2808,2.9375
2809,5.53125
2810,4.8125
2811,5.96875
2812,6.4375
2813,6.0625
2814,4.28125
2815,3.734375
2816,5.125
2817,5.4375
2818,4.53125
2819,5.0
2820,3.34375
2821,4.25
2822,6.71875
2823,5.8125
2824,4.46875
2825,6.375
2826,4.21875
2827,6.78125
2828,5.59375
2829,5.53125
2830,4.09375
2831,6.34375
2832,5.8125
2833,4.84375
2834,6.375
2835,5.40625
2836,6.4375
2837,3.484375
2838,5.125
2839,4.46875
2840,5.28125
2841,5.625
2842,6.0625
2843,4.0625
2844,6.53125
2845,5.40625
2846,6.09375
2847,6.25
2848,5.46875
2849,4.96875
2850,6.5
2851,5.84375
2852,4.0625
2853,6.0625
2854,5.0
2855,6.0625
2856,5.84375
2857,5.5625
2858,5.59375
2859,4.78125
2860,5.53125
2861,5.96875
2862,3.421875
2863,6.34375
2864,5.71875
2865,5.53125
2866,4.75
2867,5.53125
2868,7.4375
2869,4.96875
2870,3.984375
2871,6.21875
2872,6.0625
2873,5.46875
2874,5.625
2875,4.84375
2876,6.40625
2877,6.78125
2878,5.0625
2879,6.5625
2880,5.5625
2881,3.296875
2882,4.25
2883,5.6875
2884,5.78125
2885,6.03125
2886,5.34375
2887,5.0625
2888,6.5625
2889,4.9375
2890,5.9375
2891,5.96875
2892,4.8125
2893,6.15625
2894,6.40625
2895,5.6875
2896,6.5625
2897,3.484375
2898,5.375
2899,4.9375
2900,3.75
2901,3.90625
2902,6.46875
2903,5.5625
2904,3.71875
2905,5.96875
2906,3.609375
2907,4.9375
2908,6.09375
2909,5.25
2910,5.90625
2911,4.25
2912,5.3125
2913,5.5625
2914,4.59375
2915,4.9375
2916,6.78125
2917,4.9375
2918,4.53125
2919,5.15625
2920,6.125
2921,4.21875
2922,5.4375
2923,6.34375
2924,4.375
2925,5.28125
2926,4.5625
2927,6.03125
2928,5.09375
2929,5.21875
2930,5.5625
2931,3.734375
2932,4.5
2933,5.1875
2934,4.1875
2935,6.25
2936,4.40625
2937,5.0625
2938,4.78125
2939,3.546875
2940,4.96875
2941,5.96875
2942,5.1875
2943,5.0
2944,5.84375
2945,3.359375
2946,5.46875
2947,3.453125
2948,5.53125
2949,5.25
2950,3.578125
2951,6.0
2952,5.375
2953,4.21875
2954,5.90625
2955,4.21875
2956,5.53125
2957,6.5
2958,5.34375
2959,5.625
2960,6.1875
2961,4.25
2962,5.28125
2963,6.125
2964,3.5625
2965,5.65625
2966,4.0625
2967,4.28125
2968,5.75
2969,6.46875
2970,5.40625
2971,5.0625
2972,3.234375
2973,4.40625
2974,5.0625
2975,6.375
2976,5.90625
2977,6.375
2978,5.46875
2979,6.125
2980,3.90625
2981,3.484375
2982,5.4375
2983,7.0
2984,5.25
2985,5.375
2986,3.921875
2987,4.75
